Diameter(nm) (4_pFH2-203_r2),% Intensity (4_pFH2-203_r2),Diameter(nm) (5_pFH2-22_r2),% Intensity (5_pFH2-22_r2),Diameter(nm) (1_pFH2-200_r4),% Intensity (1_pFH2-200_r4),Diameter(nm) (DPBS_r1_20acq),% Intensity (DPBS_r1_20acq),Diameter(nm) (2_pFH2-201_dil200X_r2_20acq),% Intensity (2_pFH2-201_dil200X_r2_20acq),Diameter(nm) (3_pFH2-202_dil200X_r1_20acq),% Intensity (3_pFH2-202_dil200X_r1_20acq),Diameter(nm) (pFH2-101_1000X_rep1),% Intensity (pFH2-101_1000X_rep1)
0.0529628,0,0.0529628,0.000185443,0.0529628,0,0.0529628,0.00135912,0.0529628,0.0506827,0.0529628,0,0.0539691,0.799654
0.0671653,0,0.0671653,0.000223822,0.0671653,0,0.0671653,0.00781005,0.0671653,0.0794399,0.0671653,0,0.0684414,0.945309
0.0851764,0,0.0851764,0,0.0851764,0,0.0851764,0.0228545,0.0851763,0.142194,0.0851764,0,0.0867946,0.457328
0.108017,0,0.108017,0,0.108017,0,0.108017,0.0552884,0.108017,0.243604,0.108017,0,0.110069,0
0.136983,0,0.136983,0,0.136983,0,0.136983,0.117443,0.136983,0.356601,0.136983,0,0.139586,0
0.173716,0,0.173716,0.0105237,0.173716,0,0.173716,0.224133,0.173716,0.418801,0.173716,0,0.177017,0
0.2203,0,0.2203,0.0405738,0.2203,0.317791,0.2203,0.39038,0.2203,0.35422,0.2203,0.579143,0.224485,0
0.279375,0,0.279375,0.0996869,0.279375,0.327973,0.279375,0.628468,0.279375,0.15279,0.279375,0.131631,0.284683,0
0.354294,0,0.354294,0.194547,0.354294,0,0.354294,0.9451,0.354292,0,0.354294,0,0.361024,0
0.449299,0,0.449299,0.32426,0.449299,0,0.449299,1.33935,0.449299,0,0.449299,0,0.457836,0
0.569782,0,0.569782,0.476071,0.569782,0,0.569782,1.8019,0.569782,0,0.569782,0,0.580608,0
0.722576,0.18914,0.722576,0.623239,0.722576,0,0.722576,2.31557,0.722575,0,0.722576,0,0.736304,0
0.916339,0.541647,0.916339,0.72674,0.916339,0,0.916339,2.85715,0.91634,0,0.916339,0,0.93375,0
1.16206,0,1.16206,0.74238,1.16206,0,1.16206,3.39977,1.16207,0,1.16206,0,1.18414,0
1.47368,0,1.47368,0.635229,1.47368,0,1.47368,3.91556,1.47368,0,1.47368,0,1.50168,0.114493
1.86887,0,1.86887,0.405044,1.86887,0,1.86887,4.37824,1.86887,0,1.86887,0.128452,1.90437,0.0649636
2.37002,0,2.37002,0.128836,2.37002,0,2.37002,4.76536,2.37002,0,2.37002,0.740893,2.41505,0
3.00556,0,3.00556,0,3.00556,0,3.00556,5.06006,3.00556,0.294174,3.00556,0,3.06267,0
3.81153,0,3.81153,0,3.81153,0,3.81153,5.25207,3.81153,0.456103,3.81153,0,3.88395,0
4.83363,0,4.83363,0,4.83363,0,4.83363,5.33783,4.83363,0.0157775,4.83363,0,4.92547,0.0393521
6.12981,0,6.12981,0,6.12981,0,6.12981,5.32003,6.12981,0,6.12981,0,6.24628,0.308079
7.77356,0,7.77356,0,7.77356,0,7.77356,5.20662,7.77357,0,7.77356,0,7.92127,0
9.85812,0,9.85812,0,9.85812,0,9.85812,5.0096,9.85813,0,9.85812,0,10.0454,0
12.5017,0,12.5017,0,12.5017,0,12.5017,4.74364,12.5017,0,12.5017,0,12.7392,0
15.8541,0,15.8541,0,15.8541,0,15.8541,4.42481,15.8541,0,15.8541,0,16.1553,0
20.1056,0,20.1056,0,20.1056,0,20.1056,4.06932,20.1055,0,20.1056,0,20.4876,0
25.497,0,25.497,0.876772,25.497,0,25.497,3.69257,25.497,0,25.497,0,25.9815,0
32.3343,0,32.3343,2.39524,32.3343,0,32.3343,3.30845,32.3343,0,32.3343,0,32.9487,0
41.0052,0,41.0052,4.15294,41.0052,0,41.0052,2.92886,41.005,0,41.0052,0,41.7841,0
52.0008,0,52.0008,5.85391,52.0008,0,52.0008,2.56351,52.0009,0,52.0008,0,52.9889,0
65.9455,0,65.9455,7.29125,65.9455,0,65.9455,2.21991,65.9455,0,65.9455,0,67.1984,0
83.6293,0,83.6293,8.32986,83.6293,0,83.6293,1.90349,83.6293,5.0323,83.6293,0,85.2183,0
106.055,0,106.055,8.89925,106.055,0,106.055,1.61777,106.055,14.9515,106.055,1.31477,108.07,4.21251
134.495,0,134.495,8.98728,134.495,26.5887,134.495,1.36457,134.495,22.9654,134.495,77.0389,137.05,48.3336
170.561,95.5299,170.561,8.63065,170.561,72.7655,170.561,1.14426,170.561,24.8629,170.561,20.0662,173.802,42.6081
216.299,3.73933,216.299,7.90246,216.299,0,216.299,0.955993,216.299,19.4138,216.299,0,220.408,0
274.301,0,274.301,6.89867,274.301,0,274.301,0.797972,274.301,8.86833,274.301,0,279.513,0
347.858,0,347.858,5.72505,347.858,0,347.858,0.667706,347.858,0,347.858,0,354.467,0
441.139,0,441.139,4.48615,441.139,0,441.139,0.562231,441.139,0,441.139,0,449.52,0
559.433,0,559.433,3.27691,559.433,0,559.433,0.478312,559.434,0,559.433,0,570.063,0
709.453,0,709.453,2.17759,709.453,0,709.453,0.412634,709.452,0,709.453,0,722.931,0
899.698,0,899.698,1.25245,899.698,0,899.698,0.361975,899.698,0,899.698,0,916.792,0
1140.96,0,1140.96,0.55282,1140.96,0,1140.96,0.323338,1140.96,0,1140.96,0,1162.64,0
1446.92,0,1446.92,0.124471,1446.92,0,1446.92,0.294038,1446.92,0,1446.92,0,1474.41,0
1834.92,0,1834.92,0,1834.92,0,1834.92,0.271733,1834.92,0,1834.92,0,1869.79,0
2326.98,0,2326.98,0,2326.98,0,2326.98,0.254417,2326.97,0,2326.98,0,2371.19,0
2950.97,0,2950.97,0,2950.97,0,2950.97,0.240404,2950.97,0,2950.97,0,3007.04,0
3742.32,0,3742.32,0,3742.32,0,3742.32,0.228323,3742.31,0,3742.32,0,3813.41,0
4745.83,0,4745.83,0.0354113,4745.83,0,4745.83,0.217123,4745.84,0,4745.83,0,4836.01,0
6018.47,0,6018.47,0.192485,6018.47,0,6018.47,0.20607,6018.48,0,6018.47,0,6132.83,0
7632.4,0,7632.4,0.388855,7632.4,0,7632.4,0.194727,7632.39,0,7632.4,0,7777.41,0
9679.09,0,9679.09,0.572281,9679.09,0,9679.09,0.182908,9679.09,0,9679.09,0,9862.99,0
12274.6,0,12274.6,0.718604,12274.6,0,12274.6,0.170618,12274.6,0,12274.6,0,12507.8,0
15566.2,0,15566.2,0.819974,15566.2,0,15566.2,0.157985,15566.2,0,15566.2,0,15861.9,0
19740.4,0,19740.4,0.877493,19740.4,0,19740.4,0.145205,19740.4,0,19740.4,0,20115.5,0.205237
25034,0,25034,0.896812,25034,0,25034,0.132492,25034,0,25034,0,25509.6,0.561968
31747.1,0,31747.1,0.885429,31747.1,0,31747.1,0.12005,31747.1,0,31747.1,0,32350.2,0.634284
40260.4,0,40260.4,0.851054,40260.4,0,40260.4,0.108055,40260.3,0,40260.4,0,41025.3,0.460286
51056.5,0,51056.5,0.800657,51056.5,0,51056.5,0.0966448,51056.5,0.19049,51056.5,0,52026.6,0.211496
64747.7,0,64747.7,0.739695,64747.7,0,64747.7,0.0859122,64747.8,1.15088,64747.7,0,65978,0.0434129