id,Well,Condition,Replicate,Time,Singlets,mCherry
1,A1,exporter,1,0,10824,2
2,A2,exporter,2,0,10816,3
3,A3,exporter,3,0,10446,2
4,A4,no_exporter,1,0,10814,2
5,A5,no_exporter,2,0,10427,3
6,A6,no_exporter,3,0,10400,0
7,A7,direct_RNA,1,0,10450,1
8,A8,direct_RNA,2,0,10197,3
9,A9,direct_RNA,3,0,10499,3
10,A1,exporter,1,3,11377,78
11,A2,exporter,2,3,11487,93
12,A3,exporter,3,3,11495,86
13,A4,no_exporter,1,3,11532,1
14,A5,no_exporter,2,3,11336,4
15,A6,no_exporter,3,3,11195,4
16,A7,direct_RNA,1,3,11143,915
17,A8,direct_RNA,2,3,11114,894
18,A9,direct_RNA,3,3,10727,853
19,A1,exporter,1,6,10940,1893
20,A2,exporter,2,6,10958,1886
21,A3,exporter,3,6,11043,1979
22,A4,no_exporter,1,6,10910,4
23,A5,no_exporter,2,6,11089,4
24,A6,no_exporter,3,6,11380,7
25,A7,direct_RNA,1,6,10787,4244
26,A8,direct_RNA,2,6,10809,3917
27,A9,direct_RNA,3,6,10868,3852
28,A1,exporter,1,12,9806,6283
29,A2,exporter,2,12,10458,6888
30,A3,exporter,3,12,10566,6796
31,A4,no_exporter,1,12,10996,6
32,A5,no_exporter,2,12,10639,9
33,A6,no_exporter,3,12,11373,12
34,A7,direct_RNA,1,12,10865,8534
35,A8,direct_RNA,2,12,11111,7907
36,A9,direct_RNA,3,12,10855,6866
37,A1,exporter,1,24,10062,8543
38,A2,exporter,2,24,10743,9281
39,A3,exporter,3,24,11243,9518
40,A4,no_exporter,1,24,11135,13
41,A5,no_exporter,2,24,11201,15
42,A6,no_exporter,3,24,11202,16
43,A7,direct_RNA,1,24,11192,10749
44,A8,direct_RNA,2,24,11237,10767
45,A9,direct_RNA,3,24,11209,10791
46,A1,exporter,1,32,11409,10343
47,A2,exporter,2,32,10862,9877
48,A3,exporter,3,32,10761,9679
49,A4,no_exporter,1,32,10796,27
50,A5,no_exporter,2,32,10487,20
51,A6,no_exporter,3,32,10545,25
52,A7,direct_RNA,1,32,11507,11176
53,A8,direct_RNA,2,32,11495,11240
54,A9,direct_RNA,3,32,11788,11528
55,A1,exporter,1,48,10027,9212
56,A2,exporter,2,48,10036,9402
57,A3,exporter,3,48,10272,9643
58,A4,no_exporter,1,48,9911,39
59,A5,no_exporter,2,48,10059,43
60,A6,no_exporter,3,48,10198,45
61,A7,direct_RNA,1,48,10918,10718
62,A8,direct_RNA,2,48,10949,10785
63,A9,direct_RNA,3,48,10900,10744