Sample,Time_days,Replicate,GFP+,Cells,Label
dox,0,1,98.2,17886,induced (+dox)
dox,0,2,98.2,18870,induced (+dox)
dox,3,1,89.1,4483,induced (+dox)
dox,3,2,90.1,6398,induced (+dox)
dox,5,1,95.8,12509,induced (+dox)
dox,5,2,93.7,10292,induced (+dox)
dox,7,1,91.6,15961,induced (+dox)
dox,7,2,89.4,11110,induced (+dox)
no_dox,0,1,0.00519,1,not induced (-dox)
no_dox,0,2,0.0051,1,not induced (-dox)
no_dox,3,1,0.022,1,not induced (-dox)
no_dox,3,2,0,0,not induced (-dox)
no_dox,5,1,0.035,3,not induced (-dox)
no_dox,5,2,0,0,not induced (-dox)
no_dox,7,1,0.019,1,not induced (-dox)
no_dox,7,2,0,0,not induced (-dox)