well,sample,stain,replicate,best,n_events,n_dead+,frac_dead+,percent_dead+
D5,HeatKilled_DeadStain,dead,1,TRUE,30000,28116,0.9372,93.72
E5,HeatKilled_DeadStain,dead,2,TRUE,30000,28185,0.9395,93.95
F5,HeatKilled_DeadStain,dead,3,TRUE,30000,28452,0.9484,94.84
D2,NoDNA_DeadStain,dead,1,TRUE,30000,1356,0.0452,4.52
E2,NoDNA_DeadStain,dead,2,TRUE,30000,1036,0.034533333,3.453333333
F2,NoDNA_DeadStain,dead,3,TRUE,22705,1396,0.061484255,6.148425457
A1,Gag_mCh-Psi,dead,1,TRUE,30000,938,0.031266667,3.126666667
B1,Gag_mCh-Psi,dead,2,TRUE,30000,1564,0.052133333,5.213333333
C1,Gag_mCh-Psi,dead,3,TRUE,30000,1696,0.056533333,5.653333333
A2,Gag_mCh,dead,1,TRUE,30000,844,0.028133333,2.813333333
B2,Gag_mCh,dead,2,TRUE,30000,819,0.0273,2.73
C2,Gag_mCh,dead,3,TRUE,30000,1397,0.046566667,4.656666667
A3,Gag-MCP_mCh-MS2x12,dead,1,TRUE,30000,644,0.021466667,2.146666667
B3,Gag-MCP_mCh-MS2x12,dead,2,TRUE,30000,1484,0.049466667,4.946666667
C3,Gag-MCP_mCh-MS2x12,dead,3,TRUE,30000,973,0.032433333,3.243333333
A4,Gag-MCP_mCh,dead,1,TRUE,30000,885,0.0295,2.95
B4,Gag-MCP_mCh,dead,2,TRUE,30000,2118,0.0706,7.06
C4,Gag-MCP_mCh,dead,3,TRUE,30000,1282,0.042733333,4.273333333
A5,GagZip-MCP_mCh-MS2x12,dead,1,TRUE,30000,762,0.0254,2.54
B5,GagZip-MCP_mCh-MS2x12,dead,2,TRUE,30000,897,0.0299,2.99
C5,GagZip-MCP_mCh-MS2x12,dead,3,TRUE,30000,1683,0.0561,5.61
A6,GagZip-MCP_mCh,dead,1,TRUE,30000,909,0.0303,3.03
B6,GagZip-MCP_mCh,dead,2,TRUE,30000,1166,0.038866667,3.886666667
C6,GagZip-MCP_mCh,dead,3,TRUE,30000,1601,0.053366667,5.336666667
A7,EPN24-MCP_mCh-MS2x12,dead,1,TRUE,30000,1082,0.036066667,3.606666667
B7,EPN24-MCP_mCh-MS2x12,dead,2,TRUE,30000,815,0.027166667,2.716666667
C7,EPN24-MCP_mCh-MS2x12,dead,3,TRUE,30000,1394,0.046466667,4.646666667
A8,EPN24-MCP_mCh,dead,1,TRUE,30000,947,0.031566667,3.156666667
B8,EPN24-MCP_mCh,dead,2,TRUE,30000,1143,0.0381,3.81
C8,EPN24-MCP_mCh,dead,3,TRUE,30000,1578,0.0526,5.26
A9,EPN11-MCP_mCh-MS2x12,dead,1,TRUE,30000,921,0.0307,3.07
B9,EPN11-MCP_mCh-MS2x12,dead,2,TRUE,30000,801,0.0267,2.67
C9,EPN11-MCP_mCh-MS2x12,dead,3,TRUE,30000,1214,0.040466667,4.046666667
A10,EPN11-MCP_mCh,dead,1,TRUE,30000,928,0.030933333,3.093333333
B10,EPN11-MCP_mCh,dead,2,TRUE,30000,879,0.0293,2.93
C10,EPN11-MCP_mCh,dead,3,TRUE,30000,1430,0.047666667,4.766666667
A11,mCh,dead,1,TRUE,30000,977,0.032566667,3.256666667
B11,mCh,dead,2,TRUE,30000,1174,0.039133333,3.913333333
C11,mCh,dead,3,TRUE,30000,1106,0.036866667,3.686666667
A12,mCh-Psi,dead,1,TRUE,30000,1255,0.041833333,4.183333333
B12,mCh-Psi,dead,2,TRUE,30000,1033,0.034433333,3.443333333
C12,mCh-Psi,dead,3,TRUE,30000,1212,0.0404,4.04
D1,mCh-MS2x12,dead,1,TRUE,16886,962,0.056970271,5.697027123
E1,mCh-MS2x12,dead,2,TRUE,30000,2310,0.077,7.7
F1,mCh-MS2x12,dead,3,TRUE,30000,1348,0.044933333,4.493333333