Sample,Condition,Harvest time (h),Replicate,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),SQ Mean,SQ Std. Dev,LOD,SQ censored,Scale factor,RNA molecules,RNA molecules censored,RNA molecules LOD
95C-1,Gag-MCP,48,1,21.40085,21.34241,0.05795,32298.66675,33606.84367,1305.25710,31.88781,32298.66675,0.00001,2976250683.85366,2976250683.85366,2938391.45293
95C-1,Gag-MCP,48,2,21.28497,21.34241,0.05795,34909.16123,33606.84367,1305.25710,31.88781,34909.16123,0.00001,3216801974.76093,3216801974.76093,2938391.45293
95C-1,Gag-MCP,48,3,21.34140,21.34241,0.05795,33612.70302,33606.84367,1305.25710,31.88781,33612.70302,0.00001,3097336218.97705,3097336218.97705,2938391.45293
95C-6,EPN24-MCP,48,1,20.27116,20.28262,0.40108,68906.46103,70031.69046,18566.01813,31.88781,68906.46103,0.00001,6349577936.13796,6349577936.13796,2938391.45293
95C-6,EPN24-MCP,48,2,19.88740,20.28262,0.40108,89134.73191,70031.69046,18566.01813,31.88781,89134.73191,0.00001,8213568344.96117,8213568344.96117,2938391.45293
95C-6,EPN24-MCP,48,3,20.68931,20.28262,0.40108,52053.87845,70031.69046,18566.01813,31.88781,52053.87845,0.00001,4796649735.82997,4796649735.82997,2938391.45293
95C-11,NoExporter,48,1,31.40785,30.54296,0.84207,39.28072,77.70408,41.30556,31.88781,39.28072,0.00001,3619631.62629,3619631.62629,2938391.45293
95C-11,NoExporter,48,2,30.49530,30.54296,0.84207,72.44367,77.70408,41.30556,31.88781,72.44367,0.00001,6675523.51805,6675523.51805,2938391.45293
95C-11,NoExporter,48,3,29.72573,30.54296,0.84207,121.38785,77.70408,41.30556,31.88781,121.38785,0.00001,11185622.02329,11185622.02329,2938391.45293
Well3,Gag-MCP,72,1,23.31059,23.22948,0.07055,6442.06543,6818.72901,327.74229,36.01557,6442.06543,0.00000,2968110383.77285,2968110383.77285,16593775.13000
Well3,Gag-MCP,72,2,23.19548,23.22948,0.07055,6975.30517,6818.72901,327.74229,36.01557,6975.30517,0.00000,3213794695.31381,3213794695.31381,16593775.13000
Well3,Gag-MCP,72,3,23.18236,23.22948,0.07055,7038.81643,6818.72901,327.74229,36.01557,7038.81643,0.00000,3243056808.56573,3243056808.56573,16593775.13000
Well7,EPN24-MCP,72,1,22.57480,22.48491,0.11773,10709.93020,11421.54553,946.00753,36.01557,10709.93020,0.00000,4934481867.08433,4934481867.08433,16593775.13000
Well7,EPN24-MCP,72,2,22.52829,22.48491,0.11773,11059.62556,11421.54553,946.00753,36.01557,11059.62556,0.00000,5095600135.89654,5095600135.89654,16593775.13000
Well7,EPN24-MCP,72,3,22.35165,22.48491,0.11773,12495.08084,11421.54553,946.00753,36.01557,12495.08084,0.00000,5756970277.24166,5756970277.24166,16593775.13000
Well9,NoExporter,72,1,33.00612,32.95012,0.09256,7.94429,8.26903,0.53813,36.01557,36.01557,0.00000,3660244.96153,16593775.13000,16593775.13000
Well9,NoExporter,72,2,33.00097,32.95012,0.09256,7.97261,8.26903,0.53813,36.01557,36.01557,0.00000,3673289.83406,16593775.13000,16593775.13000
Well9,NoExporter,72,3,32.84328,32.95012,0.09256,8.89020,8.26903,0.53813,36.01557,36.01557,0.00000,4096061.44816,16593775.13000,16593775.13000